Timestamp,CPU_Usage,RAM_Usage,GPU_Usage
2024-08-07 14:59:14.916011,5.5,69.3,4.0
2024-08-07 14:59:16.030066,8.4,69.4,4.0
2024-08-07 14:59:17.130184,4.8,69.4,5.0
2024-08-07 14:59:18.236304,2.8,69.4,7.000000000000001
2024-08-07 14:59:19.341020,5.2,69.5,0.0
2024-08-07 14:59:20.452356,2.7,69.6,1.0
2024-08-07 14:59:21.554933,5.6,69.7,6.0
2024-08-07 14:59:22.659926,8.6,69.7,4.0
2024-08-07 14:59:23.764315,5.7,69.7,3.0
2024-08-07 14:59:24.868273,5.3,69.6,4.0
2024-08-07 14:59:25.968855,3.6,69.6,5.0
2024-08-07 14:59:27.076428,3.0,69.7,1.0
2024-08-07 14:59:28.173108,3.7,69.7,4.0
2024-08-07 14:59:29.275504,1.1,69.5,1.0
2024-08-07 14:59:30.384185,4.1,69.7,5.0
2024-08-07 14:59:31.492060,2.8,69.6,3.0
2024-08-07 14:59:32.590003,6.8,69.6,4.0
2024-08-07 14:59:33.695276,6.8,69.5,1.0
2024-08-07 14:59:34.804269,4.8,69.4,3.0
2024-08-07 14:59:35.926830,2.2,69.5,0.0
2024-08-07 14:59:37.042698,5.3,69.9,6.0
2024-08-07 14:59:38.145680,1.4,69.9,7.000000000000001
2024-08-07 14:59:39.262598,3.6,70.0,7.000000000000001
2024-08-07 14:59:40.368175,5.8,70.0,1.0
2024-08-07 14:59:41.469343,8.1,70.0,3.0
2024-08-07 14:59:42.574505,2.2,70.0,2.0
2024-08-07 14:59:43.668199,1.2,69.9,1.0
2024-08-07 14:59:44.786768,3.7,69.9,0.0
2024-08-07 14:59:45.885732,4.8,69.9,0.0
2024-08-07 14:59:46.993075,3.6,69.8,0.0
2024-08-07 14:59:48.092294,2.2,69.7,0.0
2024-08-07 14:59:49.207823,4.5,69.9,6.0
